#
# Version to read with FileManager
#
event_count chip_id(decimal) hit_x hit_y
0 112 866 6
0 112 867 6
0 368 731 10
0 368 731 11
0 368 732 10
0 368 732 11
0 369 326 102
0 369 326 102
0 370 8 472
0 372 978 278
0 376 361 300
0 376 361 300
0 378 537 289
0 378 537 289
0 379 175 381
0 379 175 381
0 379 176 381
0 379 176 381
0 624 597 15
0 624 596 15
0 624 596 16
0 624 597 16
0 635 350 278
0 635 350 278
1 113 539 83
1 121 875 183
1 369 652 87
1 369 652 88
1 370 8 472
1 372 978 278
1 380 782 198
1 625 765 91
1 625 765 92
1 625 766 91
1 625 766 92
1 635 436 3
1 635 436 4
1 635 437 8
1 635 436 13
1 635 436 29
1 635 436 31
1 635 436 34
1 635 436 38
1 635 436 44
1 635 437 44
1 635 436 48
1 635 437 64
1 635 437 67
1 635 437 110
1 635 437 117
1 635 436 125
1 635 436 127
1 635 437 131
1 635 436 146
1 635 437 149
1 635 436 175
1 635 436 176
1 635 437 178
1 635 436 179
1 635 436 190
1 635 437 193
1 635 436 206
1 635 436 250
1 635 436 258
1 635 436 276
1 635 436 290
1 635 436 291
1 635 436 298
1 635 437 315
2 112 859 292
2 112 859 293
2 112 858 293
2 368 902 336
2 370 8 472
2 372 978 278
2 380 741 324
2 380 741 324
2 624 943 378
2 624 943 379
2 624 944 378
2 624 944 379
2 635 436 3
2 635 436 4
2 635 437 8
2 635 436 13
2 635 436 29
2 635 436 31
2 635 436 34
2 635 436 38
2 635 436 44
2 635 437 44
2 635 436 48
2 635 437 64
2 635 437 67
2 635 437 110
2 635 437 117
2 635 436 125
2 635 436 127
2 635 437 131
2 635 436 146
2 635 437 149
2 635 436 175
2 635 436 176
2 635 437 178
2 635 436 179
2 635 436 190
2 635 437 193
2 635 436 206
2 635 436 250
2 635 436 258
2 635 436 276
2 635 436 290
2 635 436 291
2 635 436 298
2 635 437 315
3 121 875 183
3 124 550 1
3 370 8 472
3 372 978 278
3 380 577 5
3 380 576 5
3 380 576 6
3 380 577 6
3 636 601 11
4 370 8 472
4 372 978 278
5 112 157 142
5 112 157 143
5 112 156 143
5 121 875 183
5 368 125 166
5 368 126 166
5 368 126 167
5 370 8 472
5 370 975 230
5 372 978 278
5 624 94 189
6 116 53 391
6 116 52 392
6 116 53 392
6 370 8 472
6 370 975 230
6 372 299 417
6 372 299 418
6 372 300 417
6 372 300 418
6 372 978 278
6 628 546 444
6 628 547 444
7 116 17 253
7 121 875 183
7 370 8 472
7 372 978 278
8 116 17 253
8 121 875 183
8 124 993 363
8 124 992 363
8 124 992 364
8 124 993 364
8 370 8 472
8 372 978 278
8 380 782 198
8 380 999 347
8 380 999 348
8 380 1000 348
8 636 1005 333
9 116 302 447
9 116 302 448
9 370 8 472
9 372 525 463
9 372 524 463
9 372 978 278
9 628 750 492
9 628 761 502
9 628 762 502
10 122 961 19
10 122 960 19
10 122 960 20
10 122 961 20
10 370 8 472
10 372 978 278
10 377 54 414
10 378 960 24
10 378 961 24
10 634 960 29
11 124 909 225
11 124 909 226
11 370 8 472
11 372 978 278
11 380 851 213
11 380 851 214
11 636 792 202
11 636 793 202
11 636 793 203
11 636 792 203
11 636 792 204
11 636 793 204
12 370 8 472
12 372 978 278
13 116 17 253
13 122 537 400
13 122 538 400
13 370 8 472
13 372 978 278
13 377 54 414
13 378 421 375
13 378 420 375
13 378 420 376
13 378 421 376
13 634 301 349
13 634 301 350
13 634 301 351
13 634 302 350
14 115 386 113
14 115 386 114
14 115 387 114
14 370 8 472
14 371 485 167
14 372 978 278
14 377 54 414
14 627 584 221
15 116 17 253
15 370 8 472
15 372 978 278
16 113 916 167
16 123 429 396
16 123 430 396
16 369 831 307
16 369 831 308
16 369 832 307
16 369 832 308
16 370 8 472
16 372 978 278
16 379 573 367
16 379 574 366
16 379 574 367
16 625 727 464
16 635 718 337
17 121 12 96
17 121 13 96
17 121 13 97
17 121 12 97
17 122 11 184
17 122 11 185
17 370 8 472
17 372 978 278
17 376 805 172
17 376 806 172
17 377 859 177
17 377 858 177
17 377 858 178
17 377 859 178
17 377 859 179
17 377 858 179
17 377 858 180
17 377 859 180
17 377 860 177
17 377 860 178
17 377 860 179
17 377 860 180
17 632 567 247
17 632 567 248
17 632 568 247
17 633 705 261
17 633 705 262
17 633 705 263
17 633 705 264
17 633 706 260
17 633 706 261
17 633 706 262
17 633 706 263
17 633 706 264
18 113 588 270
18 113 589 270
18 113 589 271
18 113 588 271
18 369 687 319
18 369 686 319
18 369 686 320
18 369 687 320
18 370 8 472
18 372 978 278
18 625 785 368
19 114 959 5
19 114 959 6
19 114 960 5
19 370 8 472
19 372 978 278
19 377 960 64
19 377 961 64
19 377 961 65
19 377 960 65
19 633 824 141
19 633 824 142
