LECROYHDO9404,30214,Waveform
Segments,1,SegmentSize,2002
Ampl
-0.128086
-0.141625
-0.149562
-0.144729
-0.138934
-0.141323
-0.143328
-0.137588
-0.133991
-0.141406
-0.149672
-0.146376
-0.137973
-0.137726
-0.144646
-0.149809
-0.151786
-0.152226
-0.147997
-0.139785
-0.136353
-0.139511
-0.139785
-0.136215
-0.141955
-0.159091
-0.168209
-0.157526
-0.142586
-0.140801
-0.146404
-0.146843
-0.144866
-0.146376
-0.145168
-0.137643
-0.13476
-0.141708
-0.144454
-0.13487
-0.129597
-0.143355
-0.161481
-0.161481
-0.146706
-0.136819
-0.136627
-0.13605
-0.131382
-0.127674
-0.126603
-0.127262
-0.131821
-0.138577
-0.138989
-0.131629
-0.127674
-0.133332
-0.139758
-0.13995
-0.139703
-0.141543
-0.135666
-0.120369
-0.113724
-0.128416
-0.149782
-0.155878
-0.146349
-0.135693
-0.130613
-0.128773
-0.129048
-0.129734
-0.12707
-0.124928
-0.131959
-0.142696
-0.140335
-0.126521
-0.124187
-0.139895
-0.150166
-0.140554
-0.130283
-0.137863
-0.149068
-0.14374
-0.13119
-0.132151
-0.144015
-0.150001
-0.14753
-0.144124
-0.139346
-0.131931
-0.13097
-0.140911
-0.149205
-0.145745
-0.139373
-0.13984
-0.141131
-0.13811
-0.139923
-0.150194
-0.154258
-0.143493
-0.132316
-0.133853
-0.138934
-0.137396
-0.13822
-0.14926
-0.15802
-0.152775
-0.143273
-0.140801
-0.13833
-0.129487
-0.125834
-0.135007
-0.142422
-0.136105
-0.128965
-0.134787
-0.142669
-0.137698
-0.128855
-0.132398
-0.144097
-0.149452
-0.147612
-0.145113
-0.140527
-0.13281
-0.129954
-0.133689
-0.131876
-0.120946
-0.116854
-0.128388
-0.13973
-0.136764
-0.130366
-0.13443
-0.141241
-0.138824
-0.134815
-0.140911
-0.149617
-0.147804
-0.139703
-0.137424
-0.140362
-0.141927
-0.143685
-0.146816
-0.143053
-0.129624
-0.12026
-0.12567
-0.136655
-0.14028
-0.138659
-0.138412
-0.136764
-0.13237
-0.133414
-0.141763
-0.145058
-0.137781
-0.131739
-0.133991
-0.134595
-0.129322
-0.13108
-0.143932
-0.150496
-0.1419
-0.135501
-0.144124
-0.153379
-0.150276
-0.147887
-0.15857
-0.167577
-0.158789
-0.143822
-0.140252
-0.142257
-0.137561
-0.133277
-0.139868
-0.148216
-0.146102
-0.140087
-0.13973
-0.13844
-0.130283
-0.126466
-0.13476
-0.14212
-0.137341
-0.13119
-0.134485
-0.137039
-0.129185
-0.123747
-0.134595
-0.150908
-0.155164
-0.149946
-0.146376
-0.141845
-0.131135
-0.124626
-0.133249
-0.146541
-0.147283
-0.138714
-0.136929
-0.143246
-0.144152
-0.134842
