Gain,Gain_err,Bias,Bias_err
22.05069501226489,43.07212966194221,150,1
44.61642743221694,78.74258967750225,200,1
71.54465709728873,130.68527408917808,220,1
141.03900975243798,237.58255176451954,240,1
250.6640253565768,478.05608562844543,250,1
