       V  V_err      C  C_err  C_mobile  V_abs      1_C2      1_C2_err        1_C2_F    1_C2_err_F    derivative  derivative2_C  derivative2_V  derivative_err            NB        NB_err             W         W_err
26 -22.1    0.1   96.1    0.2     96.20   22.7  0.000108  4.507024e-07  1.080562e+20  4.507024e+17  2.287653e+19       0.091269   3.777099e+18    3.799433e+17  5.268075e+21  8.749447e+19  2.360660e-06  2.028130e-08
27 -22.2    0.1   95.2    0.2     95.24   22.8  0.000110  4.636061e-07  1.102456e+20  4.636061e+17  2.127618e+19      -0.313600  -7.172977e+18    7.318834e+17  5.664330e+21  1.948484e+20  2.281600e-06  3.956031e-08
28 -22.3    0.1   94.4    0.2     94.36   22.9  0.000112  4.754929e-07  1.123115e+20  4.754929e+17  2.144193e+19       0.447906   1.020161e+19    1.042156e+18  5.620542e+21  2.731787e+20  2.295488e-06  5.600922e-08
29 -22.4    0.1   93.6    0.2     93.44   23.0  0.000115  4.877895e-07  1.145340e+20  4.877895e+17  2.331650e+19       0.935900   2.203365e+19    2.250162e+18  5.168670e+21  4.988032e+20  2.398949e-06  1.158729e-07
30 -22.5    0.1   92.5    0.2     92.46   23.1  0.000117  5.053995e-07  1.169748e+20  5.053995e+17  2.584866e+19       1.068434   2.771219e+19    2.823339e+18  4.662341e+21  5.092475e+20  2.531340e-06  1.383522e-07
31 -22.6    0.1   91.5    0.2     91.40   23.2  0.000120  5.221517e-07  1.197037e+20  5.221517e+17  2.885894e+19       1.136624   3.291308e+19    3.344389e+18  4.176012e+21  4.839475e+20  2.680461e-06  1.554233e-07
32 -22.7    0.1   90.3    0.2     90.26   23.3  0.000123  5.432463e-07  1.227466e+20  5.432463e+17  3.243128e+19       1.157569   3.747126e+19    3.799526e+18  3.716020e+21  4.353549e+20  2.847642e-06  1.669214e-07
33 -22.8    0.1   89.1    0.2     89.02   23.4  0.000126  5.654925e-07  1.261900e+20  5.654925e+17  3.635319e+19       1.331750   4.919460e+19    4.976770e+18  3.315123e+21  4.538419e+20  3.021375e-06  2.069146e-07
34 -22.9    0.1   87.9    0.2     87.70   23.5  0.000130  5.889703e-07  1.300172e+20  5.889703e+17  4.227020e+19       1.651487   7.073998e+19    7.140557e+18  2.851070e+21  4.816212e+20  3.264949e-06  2.758557e-07
35 -23.0    0.1   86.3    0.2     86.18   23.6  0.000135  6.223398e-07  1.346440e+20  6.223398e+17  5.050119e+19       1.816536   9.208427e+19    9.277563e+18  2.386385e+21  4.384023e+20  3.576285e-06  3.285867e-07
36 -23.1    0.1   84.9    0.2     84.48   23.7  0.000140  6.536374e-07  1.401174e+20  6.536374e+17  6.068705e+19       2.110174   1.313499e+20    1.320721e+19  1.985848e+21  4.321763e+20  3.928688e-06  4.275767e-07
37 -23.2    0.1   82.7    0.2     82.54   23.8  0.000147  7.072020e-07  1.467814e+20  7.072020e+17  7.677116e+19       2.604822   2.044392e+20    2.052675e+19  1.569799e+21  4.197262e+20  4.428054e-06  5.920503e-07
38 -23.3    0.1   80.6    0.2     80.20   23.9  0.000155  7.639323e-07  1.554717e+20  7.639323e+17  1.015749e+20       3.145348   3.294745e+20    3.303496e+19  1.186467e+21  3.858718e+20  5.104081e-06  8.300625e-07
39 -23.4    0.1   78.2    0.2     77.36   24.0  0.000167  8.364495e-07  1.670964e+20  8.364495e+17  1.426661e+20       3.713825   5.414454e+20    5.423358e+19  8.447368e+20  3.211212e+20  6.061657e-06  1.152219e-06
40 -23.5    0.1   74.6    0.2     73.72   24.1  0.000184  9.634818e-07  1.840049e+20  9.634818e+17  2.098640e+20       4.092902   8.709674e+20    8.718597e+19  5.742543e+20  2.385684e+20  7.367206e-06  1.530394e-06
